Location's Name,Actor,Character,Quotes
,Phillip DeVona,Nate,
,Keedar Whittle,Sean,
,Vincent Ward,Oscar,
,Markice Moore,Andrew,
,Nick Gomez,Tomas,
,Theodus Crane,Big Tiny,
,Troy Faruk,Sean,
,Mike Mayhall,Franklin,
,Arthur Bridgers,Crowley,
,Lawrence Kao,Tim,
,Travis Love,Shumpert,
,Dango Nguyen,Mean Guard,
,Lindsay Abernathy,Rowan,
,Gary Weeks,Brady,
,Dwayne Boyd,National Guardsman,
,Dave Davis,Gargulio,
,Peter Kulas,Michael Coleman,
,Alex Van,Hermit,
,Daniel Thomas May,Allen,
,Cherie Dvorak,Donna,
,Tyler Chase,Ben,
,Russell Towery,Guard,
,E. Roger Mitchell,Paul,
,Al Vicente,Mexican Man,
,Karenlie Riddering,Mexican Woman,
,Andy Glen,Mexican Boy,
,Parker Wierling,Noah,
,Russ Comegys,Hitchhiker,
,Tanner Holland,Jody,
,Danny Vinson,David,
,Kyle Gallner,Zach,
,Danny Vinson,David Chambler,
,Chris Burns,Mike,
,April Billingsley,Theresa,
,Travis Young,Greg,
,Benjamin Papac,Albert,
,Adelaide and Eliza Cornwell(S3),Judith Grimes,
,Tinsley and Anniston Price(S4),Judith Grimes,
,None; CGI Animatronic,Shiva,
,Addy Miller,Summer,
,Melissa Cowan,Hannah,
,Blade,Siggard Family Horse,
,Unknown,Wayne Dunlap,
,Noah Lomax,Louis Morales,
,Gregory Nicotero,Notable Walers,
,Judi M. Durand,Vi,
,Claire Bronson,Candace Jenner,
,Michael Koske,Callaway,
,Blade,Nelly,
,Unknown,Louise Bush,
,Jake Garber,Doug,
,Amber Chaney,Annette Greene,
,Travis Charpentier,Shawn Greene,
,Meaghan Caddy,Eileen,
,Matthew Austin Murray,Wilson,
,Kylie Szymanski,Penny Blake,
,Greg Tresan,Richard Foster,
,Carol Lane Tresan,Mrs. Foster,
,Devon Tresan,Richard Foster's Daughter,
,Erin Leigh Bushko,Erin,
,Lucie O'Ferrall,Ms. McLeod,
,Denise Huth,Philip's Wife,
,Denny Ainsworth,Woodbury Resident,
,Bill Vella,Woodbury Resident,
,Royce Munn,Woodbury Resident,
,Abigail Jackson,Woodbury Resident,
,Gina Marie,Woodbury Resident,
,Lenora,Woodbury Resident,
,Gregory Wilborn,Woodbury Resident,
,Nikki O'Neal Cocroft,Woodbury Resident,
,Sherrie Leigh Floyd Billings,Woodbury Resident,
,Robert Bae Harvey,Woodbury Resident,
,Chase,Flame,
